1 --> sim_2014
Date of simulation:  09/04/2015,16:27:31
Description:  
1 27/05/2014,00:00:00  4.17311709579122E-0005
1 28/05/2014,00:00:00  3.38467631245744E-0004
1 29/05/2014,00:00:00  7.48417944142466E-0004
1 30/05/2014,00:00:00  2.09486690121648E-0003
1 31/05/2014,00:00:00  3.44999333210706E-0003
1 01/06/2014,00:00:00  8.24807975368115E-0003
1 02/06/2014,00:00:00  2.55979265978734E-0003
1 03/06/2014,00:00:00  0.00000000000000E+0000
1 04/06/2014,00:00:00  0.00000000000000E+0000
1 05/06/2014,00:00:00  1.05055530487874E-0002
1 06/06/2014,00:00:00  3.77737027176666E-0003
1 07/06/2014,00:00:00  1.65376948889952E-0002
1 08/06/2014,00:00:00  6.91681271900658E-0002
1 09/06/2014,00:00:00  0.00000000000000E+0000
1 10/06/2014,00:00:00  3.05030129697507E-0002
1 11/06/2014,00:00:00  1.03101890533243E-0001
1 12/06/2014,00:00:00  0.00000000000000E+0000
1 13/06/2014,00:00:00  4.24327085801405E-0002
1 14/06/2014,00:00:00  3.26760169034223E-0002
1 15/06/2014,00:00:00  5.35476123842663E-0002
1 16/06/2014,00:00:00  1.62673578647163E-0001
1 17/06/2014,00:00:00  1.11142153287271E-0001
1 18/06/2014,00:00:00  4.50658005164994E-0001
1 19/06/2014,00:00:00  5.16043357725610E-0001
1 20/06/2014,00:00:00  1.63903703297886E-0001
1 21/06/2014,00:00:00  7.53381747469469E-0001
1 22/06/2014,00:00:00  2.70092894228096E-0001
1 23/06/2014,00:00:00  0.00000000000000E+0000
1 24/06/2014,00:00:00  1.04048824360890E-0001
1 25/06/2014,00:00:00  0.00000000000000E+0000
1 26/06/2014,00:00:00  0.00000000000000E+0000
1 27/06/2014,00:00:00  0.00000000000000E+0000
1 28/06/2014,00:00:00  0.00000000000000E+0000
1 29/06/2014,00:00:00  0.00000000000000E+0000
1 30/06/2014,00:00:00  0.00000000000000E+0000
1 01/07/2014,00:00:00  0.00000000000000E+0000
1 02/07/2014,00:00:00  0.00000000000000E+0000
1 03/07/2014,00:00:00  0.00000000000000E+0000
1 04/07/2014,00:00:00  0.00000000000000E+0000
1 05/07/2014,00:00:00  0.00000000000000E+0000
1 06/07/2014,00:00:00  0.00000000000000E+0000
1 07/07/2014,00:00:00  0.00000000000000E+0000
1 08/07/2014,00:00:00  0.00000000000000E+0000
1 09/07/2014,00:00:00  0.00000000000000E+0000
1 10/07/2014,00:00:00  0.00000000000000E+0000
1 11/07/2014,00:00:00  0.00000000000000E+0000
1 12/07/2014,00:00:00  0.00000000000000E+0000
1 13/07/2014,00:00:00  0.00000000000000E+0000
1 14/07/2014,00:00:00  0.00000000000000E+0000
1 15/07/2014,00:00:00  0.00000000000000E+0000
1 16/07/2014,00:00:00  0.00000000000000E+0000
1 17/07/2014,00:00:00  0.00000000000000E+0000
1 18/07/2014,00:00:00  0.00000000000000E+0000
1 19/07/2014,00:00:00  0.00000000000000E+0000
1 20/07/2014,00:00:00  0.00000000000000E+0000
1 21/07/2014,00:00:00  0.00000000000000E+0000
1 22/07/2014,00:00:00  0.00000000000000E+0000
1 23/07/2014,00:00:00  0.00000000000000E+0000
1 24/07/2014,00:00:00  0.00000000000000E+0000
1 25/07/2014,00:00:00  0.00000000000000E+0000
1 26/07/2014,00:00:00  0.00000000000000E+0000
1 27/07/2014,00:00:00  0.00000000000000E+0000
1 28/07/2014,00:00:00  0.00000000000000E+0000
1 29/07/2014,00:00:00  0.00000000000000E+0000
1 30/07/2014,00:00:00  0.00000000000000E+0000
1 31/07/2014,00:00:00  0.00000000000000E+0000
1 01/08/2014,00:00:00  0.00000000000000E+0000
1 02/08/2014,00:00:00  0.00000000000000E+0000
1 03/08/2014,00:00:00  0.00000000000000E+0000
1 04/08/2014,00:00:00  0.00000000000000E+0000
1 05/08/2014,00:00:00  0.00000000000000E+0000
1 06/08/2014,00:00:00  0.00000000000000E+0000
1 07/08/2014,00:00:00  0.00000000000000E+0000
1 08/08/2014,00:00:00  0.00000000000000E+0000
1 09/08/2014,00:00:00  0.00000000000000E+0000
1 10/08/2014,00:00:00  0.00000000000000E+0000
1 11/08/2014,00:00:00  0.00000000000000E+0000
1 12/08/2014,00:00:00  0.00000000000000E+0000
1 13/08/2014,00:00:00  0.00000000000000E+0000
1 14/08/2014,00:00:00  0.00000000000000E+0000
1 15/08/2014,00:00:00  0.00000000000000E+0000
1 16/08/2014,00:00:00  0.00000000000000E+0000
1 17/08/2014,00:00:00  0.00000000000000E+0000
1 18/08/2014,00:00:00  0.00000000000000E+0000
1 19/08/2014,00:00:00  0.00000000000000E+0000
1 20/08/2014,00:00:00  0.00000000000000E+0000
1 21/08/2014,00:00:00  0.00000000000000E+0000
1 22/08/2014,00:00:00  0.00000000000000E+0000
1 23/08/2014,00:00:00  0.00000000000000E+0000
1 24/08/2014,00:00:00  0.00000000000000E+0000
1 25/08/2014,00:00:00  0.00000000000000E+0000
1 26/08/2014,00:00:00  0.00000000000000E+0000
1 27/08/2014,00:00:00  0.00000000000000E+0000
1 28/08/2014,00:00:00  0.00000000000000E+0000
1 29/08/2014,00:00:00  0.00000000000000E+0000
1 30/08/2014,00:00:00  0.00000000000000E+0000
1 31/08/2014,00:00:00  0.00000000000000E+0000
1 01/09/2014,00:00:00  0.00000000000000E+0000
1 02/09/2014,00:00:00  0.00000000000000E+0000
1 03/09/2014,00:00:00  0.00000000000000E+0000
1 04/09/2014,00:00:00  1.19145736961760E+0000
1 05/09/2014,00:00:00  1.93188577839892E+0000
1 06/09/2014,00:00:00  1.83423700876546E+0000
1 07/09/2014,00:00:00  1.77327493841696E+0000
1 08/09/2014,00:00:00  1.13332426658910E+0000
1 09/09/2014,00:00:00  1.78453716230661E+0000
1 10/09/2014,00:00:00  1.50001221887534E+0000
