1 --> sim_2014
Date of simulation:  10/06/2015,14:08:40
Description:  
1 27/05/2014,00:00:00  3.02880658436214E-0002
1 28/05/2014,00:00:00  1.06023989071740E-0001
1 29/05/2014,00:00:00  3.37620534165799E-0001
1 30/05/2014,00:00:00  7.13873322970328E-0001
1 31/05/2014,00:00:00  1.09037037037037E+0000
1 01/06/2014,00:00:00  1.09037037037037E+0000
1 02/06/2014,00:00:00  1.09037037037037E+0000
1 03/06/2014,00:00:00  1.09037037037037E+0000
1 04/06/2014,00:00:00  1.09037037037037E+0000
1 05/06/2014,00:00:00  7.23170896065843E+0000
1 06/06/2014,00:00:00  7.23170896065843E+0000
1 07/06/2014,00:00:00  7.23170896065843E+0000
1 08/06/2014,00:00:00  7.23170896065843E+0000
1 09/06/2014,00:00:00  1.87849375710288E+0001
1 10/06/2014,00:00:00  1.87849375710288E+0001
1 11/06/2014,00:00:00  1.87849375710288E+0001
1 12/06/2014,00:00:00  3.57500562014815E+0001
1 13/06/2014,00:00:00  3.57500562014815E+0001
1 14/06/2014,00:00:00  3.57500562014815E+0001
1 15/06/2014,00:00:00  5.81270648520164E+0001
1 16/06/2014,00:00:00  5.81270648520164E+0001
1 17/06/2014,00:00:00  5.81270648520164E+0001
1 18/06/2014,00:00:00  8.59159635226337E+0001
1 19/06/2014,00:00:00  8.59159635226337E+0001
1 20/06/2014,00:00:00  8.59159635226337E+0001
1 21/06/2014,00:00:00  1.19116752213333E+0002
1 22/06/2014,00:00:00  1.19116752213333E+0002
1 23/06/2014,00:00:00  1.19116752213333E+0002
1 24/06/2014,00:00:00  1.57729430924115E+0002
1 25/06/2014,00:00:00  1.57729430924115E+0002
1 26/06/2014,00:00:00  1.57729430924115E+0002
1 27/06/2014,00:00:00  2.01753999654979E+0002
1 28/06/2014,00:00:00  2.01753999654979E+0002
1 29/06/2014,00:00:00  2.01753999654979E+0002
1 30/06/2014,00:00:00  2.01753999654979E+0002
1 01/07/2014,00:00:00  2.51190458405926E+0002
1 02/07/2014,00:00:00  2.51190458405926E+0002
1 03/07/2014,00:00:00  2.51190458405926E+0002
1 04/07/2014,00:00:00  3.06038807176955E+0002
1 05/07/2014,00:00:00  3.06038807176955E+0002
1 06/07/2014,00:00:00  3.06038807176955E+0002
1 07/07/2014,00:00:00  3.06038807176955E+0002
1 08/07/2014,00:00:00  3.66294644897643E+0002
1 09/07/2014,00:00:00  3.66294644897643E+0002
1 10/07/2014,00:00:00  3.66294644897643E+0002
1 11/07/2014,00:00:00  3.66294644897643E+0002
1 12/07/2014,00:00:00  3.66294644897643E+0002
1 13/07/2014,00:00:00  3.66294644897643E+0002
1 14/07/2014,00:00:00  4.12601779189115E+0002
1 15/07/2014,00:00:00  4.12601779189115E+0002
1 16/07/2014,00:00:00  4.12601779189115E+0002
1 17/07/2014,00:00:00  4.12601779189115E+0002
1 18/07/2014,00:00:00  4.12601779189115E+0002
1 19/07/2014,00:00:00  4.65767119955665E+0002
1 20/07/2014,00:00:00  4.65767119955665E+0002
1 21/07/2014,00:00:00  4.65767119955665E+0002
1 22/07/2014,00:00:00  4.65767119955665E+0002
1 23/07/2014,00:00:00  4.65767119955665E+0002
